id,ide,E,ƒË,t
673,673,210000,0.3,1
674,674,210000,0.3,1
675,675,210000,0.3,1
676,676,210000,0.3,1
677,677,210000,0.3,1
678,678,210000,0.3,1
679,679,210000,0.3,1
680,680,210000,0.3,1
681,681,210000,0.3,1
682,682,210000,0.3,1
683,683,210000,0.3,1
684,684,210000,0.3,1
685,685,210000,0.3,1
686,686,210000,0.3,1
687,687,210000,0.3,1
688,688,210000,0.3,1
689,689,210000,0.3,1
690,690,210000,0.3,1
691,691,210000,0.3,1
692,692,210000,0.3,1
693,693,210000,0.3,1
694,694,210000,0.3,1
695,695,210000,0.3,1
696,696,210000,0.3,1
697,697,210000,0.3,1
698,698,210000,0.3,1
699,699,210000,0.3,1
700,700,210000,0.3,1
701,701,210000,0.3,1
702,702,210000,0.3,1
703,703,210000,0.3,1
704,704,210000,0.3,1
705,705,210000,0.3,1
706,706,210000,0.3,1
707,707,210000,0.3,1
708,708,210000,0.3,1
709,709,210000,0.3,1
710,710,210000,0.3,1
711,711,210000,0.3,1
712,712,210000,0.3,1
713,713,210000,0.3,1
714,714,210000,0.3,1
715,715,210000,0.3,1
716,716,210000,0.3,1
717,717,210000,0.3,1
718,718,210000,0.3,1
719,719,210000,0.3,1
720,720,210000,0.3,1
721,721,210000,0.3,1
722,722,210000,0.3,1
723,723,210000,0.3,1
724,724,210000,0.3,1
725,725,210000,0.3,1
726,726,210000,0.3,1
727,727,210000,0.3,1
728,728,210000,0.3,1
729,729,210000,0.3,1
730,730,210000,0.3,1
731,731,210000,0.3,1
732,732,210000,0.3,1
733,733,210000,0.3,1
734,734,210000,0.3,1
735,735,210000,0.3,1
736,736,210000,0.3,1
737,737,210000,0.3,1
738,738,210000,0.3,1
739,739,210000,0.3,1
740,740,210000,0.3,1
741,741,210000,0.3,1
742,742,210000,0.3,1
743,743,210000,0.3,1
744,744,210000,0.3,1
745,745,210000,0.3,1
746,746,210000,0.3,1
747,747,210000,0.3,1
748,748,210000,0.3,1
749,749,210000,0.3,1
750,750,210000,0.3,1
751,751,210000,0.3,1
752,752,210000,0.3,1
753,753,210000,0.3,1
754,754,210000,0.3,1
755,755,210000,0.3,1
756,756,210000,0.3,1
757,757,210000,0.3,1
758,758,210000,0.3,1
759,759,210000,0.3,1
760,760,210000,0.3,1
761,761,210000,0.3,1
762,762,210000,0.3,1
763,763,210000,0.3,1
764,764,210000,0.3,1
765,765,210000,0.3,1
766,766,210000,0.3,1
767,767,210000,0.3,1
768,768,210000,0.3,1
769,769,210000,0.3,1
770,770,210000,0.3,1
771,771,210000,0.3,1
772,772,210000,0.3,1
773,773,210000,0.3,1
774,774,210000,0.3,1
775,775,210000,0.3,1
776,776,210000,0.3,1
777,777,210000,0.3,1
778,778,210000,0.3,1
779,779,210000,0.3,1
780,780,210000,0.3,1
781,781,210000,0.3,1
782,782,210000,0.3,1
783,783,210000,0.3,1
784,784,210000,0.3,1
785,785,210000,0.3,1
786,786,210000,0.3,1
787,787,210000,0.3,1
788,788,210000,0.3,1
789,789,210000,0.3,1
790,790,210000,0.3,1
791,791,210000,0.3,1
792,792,210000,0.3,1
793,793,210000,0.3,1
794,794,210000,0.3,1
795,795,210000,0.3,1
796,796,210000,0.3,1
797,797,210000,0.3,1
798,798,210000,0.3,1
799,799,210000,0.3,1
800,800,210000,0.3,1
801,801,210000,0.3,1
802,802,210000,0.3,1
803,803,210000,0.3,1
804,804,210000,0.3,1
805,805,210000,0.3,1
806,806,210000,0.3,1
807,807,210000,0.3,1
808,808,210000,0.3,1
809,809,210000,0.3,1
810,810,210000,0.3,1
811,811,210000,0.3,1
812,812,210000,0.3,1
813,813,210000,0.3,1
814,814,210000,0.3,1
815,815,210000,0.3,1
816,816,210000,0.3,1
817,817,210000,0.3,1
818,818,210000,0.3,1
819,819,210000,0.3,1
820,820,210000,0.3,1
821,821,210000,0.3,1
822,822,210000,0.3,1
823,823,210000,0.3,1
824,824,210000,0.3,1
825,825,210000,0.3,1
826,826,210000,0.3,1
827,827,210000,0.3,1
828,828,210000,0.3,1
829,829,210000,0.3,1
830,830,210000,0.3,1
831,831,210000,0.3,1
832,832,210000,0.3,1
833,833,210000,0.3,1
834,834,210000,0.3,1
835,835,210000,0.3,1
836,836,210000,0.3,1
837,837,210000,0.3,1
838,838,210000,0.3,1
839,839,210000,0.3,1
840,840,210000,0.3,1
841,841,210000,0.3,1
842,842,210000,0.3,1
843,843,210000,0.3,1
844,844,210000,0.3,1
845,845,210000,0.3,1
846,846,210000,0.3,1
847,847,210000,0.3,1
848,848,210000,0.3,1
849,849,210000,0.3,1
850,850,210000,0.3,1
851,851,210000,0.3,1
852,852,210000,0.3,1
853,853,210000,0.3,1
854,854,210000,0.3,1
855,855,210000,0.3,1
856,856,210000,0.3,1
857,857,210000,0.3,1
858,858,210000,0.3,1
859,859,210000,0.3,1
860,860,210000,0.3,1
861,861,210000,0.3,1
862,862,210000,0.3,1
863,863,210000,0.3,1
864,864,210000,0.3,1
865,865,210000,0.3,1
866,866,210000,0.3,1
867,867,210000,0.3,1
868,868,210000,0.3,1
869,869,210000,0.3,1
870,870,210000,0.3,1
871,871,210000,0.3,1
872,872,210000,0.3,1
873,873,210000,0.3,1
874,874,210000,0.3,1
875,875,210000,0.3,1
876,876,210000,0.3,1
877,877,210000,0.3,1
878,878,210000,0.3,1
879,879,210000,0.3,1
880,880,210000,0.3,1
881,881,210000,0.3,1
882,882,210000,0.3,1
883,883,210000,0.3,1
884,884,210000,0.3,1
885,885,210000,0.3,1
886,886,210000,0.3,1
887,887,210000,0.3,1
888,888,210000,0.3,1
889,889,210000,0.3,1
890,890,210000,0.3,1
891,891,210000,0.3,1
892,892,210000,0.3,1
893,893,210000,0.3,1
894,894,210000,0.3,1
895,895,210000,0.3,1
896,896,210000,0.3,1
897,897,210000,0.3,1
898,898,210000,0.3,1
899,899,210000,0.3,1
900,900,210000,0.3,1
901,901,210000,0.3,1
902,902,210000,0.3,1
903,903,210000,0.3,1
904,904,210000,0.3,1
905,905,210000,0.3,1
906,906,210000,0.3,1
907,907,210000,0.3,1
908,908,210000,0.3,1
909,909,210000,0.3,1
910,910,210000,0.3,1
911,911,210000,0.3,1
912,912,210000,0.3,1
913,913,210000,0.3,1
914,914,210000,0.3,1
915,915,210000,0.3,1
916,916,210000,0.3,1
917,917,210000,0.3,1
918,918,210000,0.3,1
919,919,210000,0.3,1
920,920,210000,0.3,1
921,921,210000,0.3,1
922,922,210000,0.3,1
923,923,210000,0.3,1
924,924,210000,0.3,1
925,925,210000,0.3,1
926,926,210000,0.3,1
927,927,210000,0.3,1
928,928,210000,0.3,1
929,929,210000,0.3,1
930,930,210000,0.3,1
931,931,210000,0.3,1
932,932,210000,0.3,1
933,933,210000,0.3,1
934,934,210000,0.3,1
935,935,210000,0.3,1
936,936,210000,0.3,1
937,937,210000,0.3,1
938,938,210000,0.3,1
939,939,210000,0.3,1
940,940,210000,0.3,1
941,941,210000,0.3,1
942,942,210000,0.3,1
943,943,210000,0.3,1
944,944,210000,0.3,1
945,945,210000,0.3,1
946,946,210000,0.3,1
947,947,210000,0.3,1
948,948,210000,0.3,1
949,949,210000,0.3,1
950,950,210000,0.3,1
951,951,210000,0.3,1
952,952,210000,0.3,1
953,953,210000,0.3,1
954,954,210000,0.3,1
955,955,210000,0.3,1
956,956,210000,0.3,1
957,957,210000,0.3,1
958,958,210000,0.3,1
959,959,210000,0.3,1
960,960,210000,0.3,1
961,961,210000,0.3,1
962,962,210000,0.3,1
963,963,210000,0.3,1
964,964,210000,0.3,1
965,965,210000,0.3,1
966,966,210000,0.3,1
967,967,210000,0.3,1
968,968,210000,0.3,1
969,969,210000,0.3,1
970,970,210000,0.3,1
971,971,210000,0.3,1
972,972,210000,0.3,1
973,973,210000,0.3,1
974,974,210000,0.3,1
975,975,210000,0.3,1
976,976,210000,0.3,1
977,977,210000,0.3,1
978,978,210000,0.3,1
979,979,210000,0.3,1
980,980,210000,0.3,1
981,981,210000,0.3,1
982,982,210000,0.3,1
983,983,210000,0.3,1
984,984,210000,0.3,1
985,985,210000,0.3,1
986,986,210000,0.3,1
987,987,210000,0.3,1
988,988,210000,0.3,1
989,989,210000,0.3,1
990,990,210000,0.3,1
991,991,210000,0.3,1
992,992,210000,0.3,1
993,993,210000,0.3,1
994,994,210000,0.3,1
995,995,210000,0.3,1
996,996,210000,0.3,1
997,997,210000,0.3,1
998,998,210000,0.3,1
999,999,210000,0.3,1
1000,1000,210000,0.3,1
1001,1001,210000,0.3,1
1002,1002,210000,0.3,1
1003,1003,210000,0.3,1
1004,1004,210000,0.3,1
1005,1005,210000,0.3,1
1006,1006,210000,0.3,1
1007,1007,210000,0.3,1
1008,1008,210000,0.3,1
1009,1009,210000,0.3,1
1010,1010,210000,0.3,1
1011,1011,210000,0.3,1
1012,1012,210000,0.3,1
1013,1013,210000,0.3,1
1014,1014,210000,0.3,1
1015,1015,210000,0.3,1
1016,1016,210000,0.3,1
1017,1017,210000,0.3,1
1018,1018,210000,0.3,1
1019,1019,210000,0.3,1
1020,1020,210000,0.3,1
1021,1021,210000,0.3,1
1022,1022,210000,0.3,1
1023,1023,210000,0.3,1
1024,1024,210000,0.3,1
1025,1025,210000,0.3,1
1026,1026,210000,0.3,1
1027,1027,210000,0.3,1
1028,1028,210000,0.3,1
1029,1029,210000,0.3,1
1030,1030,210000,0.3,1
1031,1031,210000,0.3,1
1032,1032,210000,0.3,1
1033,1033,210000,0.3,1
1034,1034,210000,0.3,1
1035,1035,210000,0.3,1
1036,1036,210000,0.3,1
1037,1037,210000,0.3,1
1038,1038,210000,0.3,1
1039,1039,210000,0.3,1
1040,1040,210000,0.3,1
1041,1041,210000,0.3,1
1042,1042,210000,0.3,1
1043,1043,210000,0.3,1
1044,1044,210000,0.3,1
1045,1045,210000,0.3,1
1046,1046,210000,0.3,1
1047,1047,210000,0.3,1
1048,1048,210000,0.3,1
1049,1049,210000,0.3,1
1050,1050,210000,0.3,1
1051,1051,210000,0.3,1
1052,1052,210000,0.3,1
1053,1053,210000,0.3,1
1054,1054,210000,0.3,1
1055,1055,210000,0.3,1
1056,1056,210000,0.3,1
1057,1057,210000,0.3,1
1058,1058,210000,0.3,1
1059,1059,210000,0.3,1
1060,1060,210000,0.3,1
1061,1061,210000,0.3,1
1062,1062,210000,0.3,1
1063,1063,210000,0.3,1
