ID,NON,n0,n1,n2,n3,n4,n5,n6,n7
88,8,479,17128,17146,17127,19070,34942,34945,34943
89,8,17128,17120,17131,17146,34942,19072,34944,34945
90,8,17127,17146,17131,1065,34943,34945,34944,19071
91,8,17567,19072,34942,19070,19071,34944,34945,34943
92,8,17656,19073,34946,19075,19076,34947,34950,34948
93,8,19073,17657,19074,34946,34947,19078,34949,34950
94,8,19075,34946,19074,17664,34948,34950,34949,19077
95,8,17663,19078,34947,19076,19077,34949,34950,34948
96,8,18453,19079,34951,19080,19081,34952,34954,34953
97,8,19079,13658,13673,34951,34952,13675,13697,34954
98,8,19080,34951,13673,13654,34953,34954,13697,13674
99,8,3011,13675,34952,19081,13674,13697,34954,34953
100,8,9248,9257,9278,9258,19082,34955,34958,34956
101,8,9257,110,9259,9278,34955,19084,34957,34958
102,8,9258,9278,9259,9247,34956,34958,34957,19083
103,8,18105,19084,34955,19082,19083,34957,34958,34956
104,8,3006,19085,34959,19087,19088,34960,34963,34961
105,8,19085,15094,19086,34959,34960,15102,34962,34963
106,8,19087,34959,19086,18455,34961,34963,34962,19089
107,8,3408,15102,34960,19088,19089,34962,34963,34961
108,8,13655,13684,34964,13676,19091,34965,34968,34966
109,8,13684,3006,19090,34964,34965,19088,34967,34968
110,8,13676,34964,19090,2975,34966,34968,34967,19092
111,8,3408,19088,34965,19091,19092,34967,34968,34966
112,8,17596,19093,34969,19095,19096,34970,34973,34971
113,8,19093,17601,19094,34969,34970,19098,34972,34973
114,8,19095,34969,19094,17598,34971,34973,34972,19097
115,8,18667,19098,34970,19096,19097,34972,34973,34971
116,8,13131,19099,34974,13177,13165,34975,34977,13207
117,8,19099,18416,19100,34974,34975,19101,34976,34977
118,8,13177,34974,19100,13137,13207,34977,34976,13168
119,8,13135,19101,34975,13165,13168,34976,34977,13207
120,8,18703,19102,34978,19104,19105,34979,34982,34980
121,8,19102,18659,19103,34978,34979,19107,34981,34982
122,8,19104,34978,19103,17806,34980,34982,34981,19106
123,8,18701,19107,34979,19105,19106,34981,34982,34980
124,8,110,19084,34983,1856,9259,34957,34985,9281
125,8,19084,18105,19108,34983,34957,19083,34984,34985
126,8,1856,34983,19108,1855,9281,34985,34984,9263
127,8,9247,19083,34957,9259,9263,34984,34985,9281
128,8,18284,19109,34986,19110,19111,34987,34989,34988
129,8,19109,12539,12550,34986,34987,12549,12570,34989
130,8,19110,34986,12550,2807,34988,34989,12570,12551
131,8,12538,12549,34987,19111,12551,12570,34989,34988
132,8,2089,9766,34990,19113,19114,34991,34994,34992
133,8,9766,9751,19112,34990,34991,19116,34993,34994
134,8,19113,34990,19112,17753,34992,34994,34993,19115
135,8,17742,19116,34991,19114,19115,34993,34994,34992
136,8,6726,19117,34995,19119,19120,34996,34999,34997
137,8,19117,17924,19118,34995,34996,19122,34998,34999
138,8,19119,34995,19118,17953,34997,34999,34998,19121
139,8,17921,19122,34996,19120,19121,34998,34999,34997
140,8,208,19123,35000,3102,14215,35001,35003,14247
141,8,19123,18485,19124,35000,35001,19125,35002,35003
142,8,3102,35000,19124,3103,14247,35003,35002,14216
143,8,14189,19125,35001,14215,14216,35002,35003,14247
144,8,14413,19126,35004,19128,19129,35005,35008,35006
145,8,19126,18517,19127,35004,35005,19131,35007,35008
146,8,19128,35004,19127,18560,35006,35008,35007,19130
147,8,18481,19131,35005,19129,19130,35007,35008,35006
148,8,401,400,35009,19133,4340,4362,35012,35010
149,8,400,399,19132,35009,4362,4343,35011,35012
150,8,19133,35009,19132,17546,35010,35012,35011,19134
151,8,4312,4343,4362,4340,19134,35011,35012,35010
152,8,17610,19135,35013,19137,19138,35014,35017,35015
153,8,19135,35,19136,35013,35014,526,35016,35017
154,8,19137,35013,19136,17630,35015,35017,35016,19139
155,8,527,526,35014,19138,19139,35016,35017,35015
156,8,18837,19140,35018,19141,19142,35019,35021,35020
157,8,19140,1396,7648,35018,35019,7650,7679,35021
158,8,19141,35018,7648,7633,35020,35021,7679,7653
159,8,527,7650,35019,19142,7653,7679,35021,35020
160,8,18453,19143,35022,19144,19145,35023,35025,35024
161,8,19143,13655,13676,35022,35023,19091,34966,35025
162,8,19144,35022,13676,2975,35024,35025,34966,19092
163,8,3408,19091,35023,19145,19092,34966,35025,35024
164,8,18882,19146,35026,19147,19148,35027,35030,35028
165,8,19146,18284,19111,35026,35027,19149,35029,35030
166,8,19147,35026,19111,12538,35028,35030,35029,12548
167,8,12537,19149,35027,19148,12548,35029,35030,35028
168,8,18725,19150,35031,19152,19153,35032,35035,35033
169,8,19150,17912,19151,35031,35032,19155,35034,35035
170,8,19152,35031,19151,17917,35033,35035,35034,19154
171,8,18928,19155,35032,19153,19154,35034,35035,35033
172,8,18429,19156,35036,19158,19159,35037,35040,35038
173,8,19156,2878,19157,35036,35037,19161,35039,35040
174,8,19158,35036,19157,18428,35038,35040,35039,19160
175,8,18422,19161,35037,19159,19160,35039,35040,35038
176,8,17596,19162,35041,19164,19165,35042,35045,35043
177,8,19162,31,19163,35041,35042,475,35044,35045
178,8,19164,35041,19163,17597,35043,35045,35044,19166
179,8,474,475,35042,19165,19166,35044,35045,35043
180,8,18187,19167,35046,19169,19170,35047,35050,35048
181,8,19167,18219,19168,35046,35047,19171,35049,35050
182,8,19169,35046,19168,18218,35048,35050,35049,18997
183,8,18239,19171,35047,19170,18997,35049,35050,35048
184,8,18490,19172,35051,19174,19175,35052,35055,35053
185,8,19172,18168,19173,35051,35052,19177,35054,35055
186,8,19174,35051,19173,18489,35053,35055,35054,19176
187,8,18488,19177,35052,19175,19176,35054,35055,35053
188,8,18526,19178,35056,19180,19181,35057,35060,35058
189,8,19178,18067,19179,35056,35057,19183,35059,35060
190,8,19180,35056,19179,18162,35058,35060,35059,19182
191,8,18524,19183,35057,19181,19182,35059,35060,35058
192,8,1485,15938,35061,19185,1484,15960,35064,35062
193,8,15938,15908,19184,35061,15960,15939,35063,35064
194,8,19185,35061,19184,17763,35062,35064,35063,19186
195,8,1483,15939,15960,1484,19186,35063,35064,35062
196,8,17529,19187,35065,19189,19190,35066,35069,35067
197,8,19187,18692,19188,35065,35066,19192,35068,35069
198,8,19189,35065,19188,17532,35067,35069,35068,19191
199,8,17531,19192,35066,19190,19191,35068,35069,35067
200,8,18129,19193,35070,19195,19196,35071,35074,35072
201,8,19193,18131,19194,35070,35071,19198,35073,35074
202,8,19195,35070,19194,18481,35072,35074,35073,19197
203,8,1877,19198,35071,19196,19197,35073,35074,35072
204,8,18287,19199,35075,19201,19202,35076,35079,35077
205,8,19199,18409,19200,35075,35076,19204,35078,35079
206,8,19201,35075,19200,18406,35077,35079,35078,19203
207,8,12432,19204,35076,19202,19203,35078,35079,35077
208,8,829,19205,35080,5478,19207,35081,35084,35082
209,8,19205,17648,19206,35080,35081,19209,35083,35084
210,8,5478,35080,19206,5453,35082,35084,35083,19208
211,8,17789,19209,35081,19207,19208,35083,35084,35082
212,8,17649,19210,35085,19211,19212,35086,35088,35087
213,8,19210,548,4766,35085,35086,549,4791,35088
214,8,19211,35085,4766,536,35087,35088,4791,4765
215,8,550,549,35086,19212,4765,4791,35088,35087
216,8,2603,19213,35089,19215,11574,35090,35093,35091
217,8,19213,18276,19214,35089,35090,19217,35092,35093
218,8,19215,35089,19214,18275,35091,35093,35092,19216
219,8,11558,19217,35090,11574,19216,35092,35093,35091
220,8,2470,10974,10995,10972,19218,35094,35097,35095
221,8,10974,2467,10973,10995,35094,19220,35096,35097
222,8,10972,10995,10973,10967,35095,35097,35096,19219
223,8,18308,19220,35094,19218,19219,35096,35097,35095
224,8,1529,19221,35098,8281,19223,35099,35102,35100
225,8,19221,18034,19222,35098,35099,19225,35101,35102
226,8,8281,35098,19222,8238,35100,35102,35101,19224
227,8,18029,19225,35099,19223,19224,35101,35102,35100
228,8,17527,19226,35103,19228,19229,35104,35107,35105
229,8,19226,18635,19227,35103,35104,19230,35106,35107
230,8,19228,35103,19227,17531,35105,35107,35106,19191
231,8,17532,19230,35104,19229,19191,35106,35107,35105
232,8,4736,19231,35108,4742,19233,35109,35112,35110
233,8,19231,17649,19232,35108,35109,19235,35111,35112
234,8,4742,35108,19232,552,35110,35112,35111,19234
235,8,17644,19235,35109,19233,19234,35111,35112,35110
236,8,829,19207,35082,5478,5476,35113,35115,5502
237,8,19207,17789,19208,35082,35113,19236,35114,35115
238,8,5478,35082,19208,5453,5502,35115,35114,5477
239,8,5456,19236,35113,5476,5477,35114,35115,5502
240,8,827,19237,35116,5460,5483,35117,35119,5524
241,8,19237,17648,19238,35116,35117,19206,35118,35119
242,8,5460,35116,19238,5455,5524,35119,35118,5491
243,8,5453,19206,35117,5483,5491,35118,35119,5524
244,8,13888,13894,13932,13895,19239,35120,35123,35121
245,8,13894,13892,13893,13932,35120,19241,35122,35123
246,8,13895,13932,13893,13885,35121,35123,35122,19240
247,8,18468,19241,35120,19239,19240,35122,35123,35121
248,8,17780,19242,35124,19244,19245,35125,35128,35126
249,8,19242,17778,19243,35124,35125,19247,35127,35128
250,8,19244,35124,19243,17710,35126,35128,35127,19246
251,8,17775,19247,35125,19245,19246,35127,35128,35126
252,8,1941,1942,35129,19249,9475,9499,35132,35130
253,8,1942,1943,19248,35129,9499,9483,35131,35132
254,8,19249,35129,19248,18103,35130,35132,35131,19250
255,8,1948,9483,9499,9475,19250,35131,35132,35130
256,8,18762,19251,35133,19253,19254,35134,35137,35135
257,8,19251,18938,19252,35133,35134,19256,35136,35137
258,8,19253,35133,19252,18742,35135,35137,35136,19255
259,8,17952,19256,35134,19254,19255,35136,35137,35135
260,8,3093,19257,35138,14088,14086,35139,35141,14115
261,8,19257,18174,19258,35138,35139,19259,35140,35141
262,8,14088,35138,19258,14053,14115,35141,35140,14087
263,8,14055,19259,35139,14086,14087,35140,35141,14115
264,8,17853,19260,35142,19262,19263,35143,35146,35144
265,8,19260,18713,19261,35142,35143,19265,35145,35146
266,8,19262,35142,19261,18711,35144,35146,35145,19264
267,8,18721,19265,35143,19263,19264,35145,35146,35144
268,8,2039,9633,35147,19267,19268,35148,35151,35149
269,8,9633,2017,19266,35147,35148,19270,35150,35151
270,8,19267,35147,19266,18037,35149,35151,35150,19269
271,8,18144,19270,35148,19268,19269,35150,35151,35149
272,8,18507,19271,35152,19272,19273,35153,35156,35154
273,8,19271,18174,19258,35152,35153,19275,35155,35156
274,8,19272,35152,19258,14053,35154,35156,35155,19274
275,8,18482,19275,35153,19273,19274,35155,35156,35154
276,8,2306,10496,35157,19277,19278,35158,35161,35159
277,8,10496,10441,19276,35157,35158,19280,35160,35161
278,8,19277,35157,19276,18217,35159,35161,35160,19279
279,8,18208,19280,35158,19278,19279,35160,35161,35159
280,8,17734,19281,35162,19282,19283,35163,35165,35164
281,8,19281,703,5204,35162,35163,704,5227,35165
282,8,19282,35162,5204,746,35164,35165,5227,747
283,8,47,704,35163,19283,747,5227,35165,35164
284,8,18638,19284,35166,19286,19287,35167,35170,35168
285,8,19284,17525,19285,35166,35167,19289,35169,35170
286,8,19286,35166,19285,17511,35168,35170,35169,19288
287,8,17510,19289,35167,19287,19288,35169,35170,35168
288,8,18518,19290,35171,19292,19293,35172,35175,35173
289,8,19290,3205,19291,35171,35172,19295,35174,35175
290,8,19292,35171,19291,18515,35173,35175,35174,19294
291,8,18513,19295,35172,19293,19294,35174,35175,35173
292,8,17820,19296,35176,19298,19299,35177,35180,35178
293,8,19296,17838,19297,35176,35177,19301,35179,35180
294,8,19298,35176,19297,17828,35178,35180,35179,19300
295,8,17840,19301,35177,19299,19300,35179,35180,35178
296,8,17489,19302,35181,19303,19304,35182,35185,35183
297,8,19302,4425,4442,35181,35182,19306,35184,35185
298,8,19303,35181,4442,438,35183,35185,35184,19305
299,8,17488,19306,35182,19304,19305,35184,35185,35183
300,8,1340,19307,35186,7483,7495,35187,35189,7532
301,8,19307,17980,19308,35186,35187,19309,35188,35189
302,8,7483,35186,19308,7440,7532,35189,35188,7491
303,8,1358,19309,35187,7495,7491,35188,35189,7532
304,8,18124,19310,35190,19311,19312,35191,35193,35192
305,8,19310,18131,19193,35190,35191,19198,35071,35193
306,8,19311,35190,19193,18129,35192,35193,35071,19196
307,8,1877,19198,35191,19312,19196,35071,35193,35192
308,8,12298,12326,12390,12340,19313,35194,35197,35195
309,8,12326,12286,12334,12390,35194,19315,35196,35197
310,8,12340,12390,12334,12296,35195,35197,35196,19314
311,8,18404,19315,35194,19313,19314,35196,35197,35195
312,8,18129,19195,35198,19317,19196,35072,35201,35199
313,8,19195,18481,19316,35198,35072,19197,35200,35201
314,8,19317,35198,19316,112,35199,35201,35200,1878
315,8,1877,19197,35072,19196,1878,35200,35201,35199
316,8,2883,19318,35202,19319,19320,35203,35206,35204
317,8,19318,18428,19160,35202,35203,19322,35205,35206
318,8,19319,35202,19160,18422,35204,35206,35205,19321
319,8,18424,19322,35203,19320,19321,35205,35206,35204
320,8,3107,19323,35207,14212,3106,35208,35210,14272
321,8,19323,18125,19324,35207,35208,19325,35209,35210
322,8,14212,35207,19324,14194,14272,35210,35209,14208
323,8,3105,19325,35208,3106,14208,35209,35210,14272
324,8,14136,19326,35211,19328,14157,35212,35215,35213
325,8,19326,18126,19327,35211,35212,19330,35214,35215
326,8,19328,35211,19327,18125,35213,35215,35214,19329
327,8,3098,19330,35212,14157,19329,35214,35215,35213
328,8,18795,19331,35216,18983,19332,35217,35219,35218
329,8,19331,18703,19104,35216,35217,19105,34980,35219
330,8,18983,35216,19104,17806,35218,35219,34980,19106
331,8,18701,19105,35217,19332,19106,34980,35219,35218
332,8,18494,19333,35220,19335,19336,35221,35224,35222
333,8,19333,3194,19334,35220,35221,19338,35223,35224
334,8,19335,35220,19334,18500,35222,35224,35223,19337
335,8,18501,19338,35221,19336,19337,35223,35224,35222
336,8,18459,19339,35225,19341,19342,35226,35229,35227
337,8,19339,18450,19340,35225,35226,19344,35228,35229
338,8,19341,35225,19340,18445,35227,35229,35228,19343
339,8,18446,19344,35226,19342,19343,35228,35229,35227
340,8,10734,10737,10776,10757,19345,35230,35233,35231
341,8,10737,2379,2378,10776,35230,19347,35232,35233
342,8,10757,10776,2378,2377,35231,35233,35232,19346
343,8,18264,19347,35230,19345,19346,35232,35233,35231
344,8,18234,19348,35234,19350,19351,35235,35238,35236
345,8,19348,18220,19349,35234,35235,19352,35237,35238
346,8,19350,35234,19349,2324,35236,35238,35237,2325
347,8,2326,19352,35235,19351,2325,35237,35238,35236
348,8,12827,12846,35239,19353,19354,35240,35242,35241
349,8,12846,2883,19319,35239,35240,19320,35204,35242
350,8,19353,35239,19319,18422,35241,35242,35204,19321
351,8,18424,19320,35240,19354,19321,35204,35242,35241
352,8,5455,19238,35243,19356,5473,35244,35247,35245
353,8,19238,17648,19355,35243,35244,19357,35246,35247
354,8,19356,35243,19355,17644,35245,35247,35246,19234
355,8,552,19357,35244,5473,19234,35246,35247,35245
356,8,17648,19358,35248,19355,19357,35249,35250,35246
357,8,19358,17649,19235,35248,35249,19232,35111,35250
358,8,19355,35248,19235,17644,35246,35250,35111,19234
359,8,552,19232,35249,19357,19234,35111,35250,35246
360,8,18431,19359,35251,19361,19362,35252,35255,35253
361,8,19359,18277,19360,35251,35252,19364,35254,35255
362,8,19361,35251,19360,18898,35253,35255,35254,19363
363,8,18876,19364,35252,19362,19363,35254,35255,35253
364,8,17781,19365,35256,19366,19367,35257,35260,35258
365,8,19365,42,612,35256,35257,19369,35259,35260
366,8,19366,35256,612,611,35258,35260,35259,19368
367,8,18016,19369,35257,19367,19368,35259,35260,35258
368,8,1870,14393,14410,14392,19370,35261,35264,35262
369,8,14393,14375,14377,14410,35261,19372,35263,35264
370,8,14392,14410,14377,14374,35262,35264,35263,19371
371,8,18491,19372,35261,19370,19371,35263,35264,35262
372,8,17672,19373,35265,19374,19375,35266,35269,35267
373,8,19373,4801,4839,35265,35266,19377,35268,35269
374,8,19374,35265,4839,576,35267,35269,35268,19376
375,8,17669,19377,35266,19375,19376,35268,35269,35267
376,8,18168,19378,35270,19380,19172,35271,35274,35272
377,8,19378,2200,19379,35270,35271,19382,35273,35274
378,8,19380,35270,19379,18169,35272,35274,35273,19381
379,8,18490,19382,35271,19172,19381,35273,35274,35272
380,8,594,19383,35275,4921,19385,35276,35279,35277
381,8,19383,17706,19384,35275,35276,19387,35278,35279
382,8,4921,35275,19384,4908,35277,35279,35278,19386
383,8,18007,19387,35276,19385,19386,35278,35279,35277
384,8,18108,19388,35280,19390,19391,35281,35284,35282
385,8,19388,1842,19389,35280,35281,9228,35283,35284
386,8,19390,35280,19389,18105,35282,35284,35283,19392
387,8,1800,9228,35281,19391,19392,35283,35284,35282
388,8,14057,19393,35285,14063,14065,35286,35288,14102
389,8,19393,18228,19394,35285,35286,19395,35287,35288
390,8,14063,35285,19394,2319,14102,35288,35287,2318
391,8,2317,19395,35286,14065,2318,35287,35288,14102
392,8,18687,19396,35289,19398,19399,35290,35293,35291
393,8,19396,17919,19397,35289,35290,19401,35292,35293
394,8,19398,35289,19397,18928,35291,35293,35292,19400
395,8,18686,19401,35290,19399,19400,35292,35293,35291
396,8,1616,8682,35294,19403,19404,35295,35298,35296
397,8,8682,8621,19402,35294,35295,19406,35297,35298
398,8,19403,35294,19402,18790,35296,35298,35297,19405
399,8,17733,19406,35295,19404,19405,35297,35298,35296
400,8,18563,19407,35299,19408,19409,35300,35302,35301
401,8,19407,3146,14474,35299,35300,14475,14485,35302
402,8,19408,35299,14474,14472,35301,35302,14485,14477
403,8,3141,14475,35300,19409,14477,14485,35302,35301
404,8,17931,19410,35303,19412,19413,35304,35307,35305
405,8,19410,17934,19411,35303,35304,19415,35306,35307
406,8,19412,35303,19411,17942,35305,35307,35306,19414
407,8,17939,19415,35304,19413,19414,35306,35307,35305
408,8,18001,19416,35308,19418,19419,35309,35312,35310
409,8,19416,40,19417,35308,35309,577,35311,35312
410,8,19418,35308,19417,18776,35310,35312,35311,19420
411,8,576,577,35309,19419,19420,35311,35312,35310
412,8,18001,19421,35313,19416,19419,35314,35315,35309
413,8,19421,7635,7652,35313,35314,7651,7678,35315
414,8,19416,35313,7652,40,35309,35315,7678,577
415,8,576,7651,35314,19419,577,7678,35315,35309
416,8,17701,19422,35316,19424,19425,35317,35320,35318
417,8,19422,17700,19423,35316,35317,19427,35319,35320
418,8,19424,35316,19423,17687,35318,35320,35319,19426
419,8,17688,19427,35317,19425,19426,35319,35320,35318
420,8,579,19428,35321,19430,4851,35322,35325,35323
421,8,19428,17669,19429,35321,35322,19376,35324,35325
422,8,19430,35321,19429,18776,35323,35325,35324,19420
423,8,576,19376,35322,4851,19420,35324,35325,35323
424,8,17669,19375,35326,19429,19376,35267,35328,35324
425,8,19375,17672,19431,35326,35267,19374,35327,35328
426,8,19429,35326,19431,18776,35324,35328,35327,19420
427,8,576,19374,35267,19376,19420,35327,35328,35324
428,8,851,19432,35329,19434,5596,35330,35333,35331
429,8,19432,17801,19433,35329,35330,19436,35332,35333
430,8,19434,35329,19433,17798,35331,35333,35332,19435
431,8,5581,19436,35330,5596,19435,35332,35333,35331
432,8,17687,19437,35334,19438,19439,35335,35337,35336
433,8,19437,7833,7845,35334,35335,7850,7881,35337
434,8,19438,35334,7845,601,35336,35337,7881,600
435,8,599,7850,35335,19439,600,7881,35337,35336
436,8,18926,19440,35338,19442,19443,35339,35342,35340
437,8,19440,18812,19441,35338,35339,19445,35341,35342
438,8,19442,35338,19441,1049,35340,35342,35341,19444
439,8,17894,19445,35339,19443,19444,35341,35342,35340
440,8,6478,6507,35343,19447,6509,6548,35346,35344
441,8,6507,6479,19446,35343,6548,6508,35345,35346
442,8,19447,35343,19446,17897,35344,35346,35345,19448
443,8,1070,6508,6548,6509,19448,35345,35346,35344
444,8,9415,9417,9450,9423,19449,35347,35350,35348
445,8,9417,1943,1944,9450,35347,19248,35349,35350
446,8,9423,9450,1944,115,35348,35350,35349,19450
447,8,18103,19248,35347,19449,19450,35349,35350,35348
448,8,1917,9441,35351,19451,19452,35352,35355,35353
449,8,9441,1941,19249,35351,35352,19454,35354,35355
450,8,19451,35351,19249,18103,35353,35355,35354,19453
451,8,18539,19454,35352,19452,19453,35354,35355,35353
452,8,17917,19455,35356,19154,19456,35357,35359,35358
453,8,19455,17919,19397,35356,35357,19396,35289,35359
454,8,19154,35356,19397,18928,35358,35359,35289,19398
455,8,18687,19396,35357,19456,19398,35289,35359,35358
456,8,18103,19457,35360,19458,19459,35361,35363,35362
457,8,19457,14893,14896,35360,35361,14895,14913,35363
458,8,19458,35360,14896,3350,35362,35363,14913,14894
459,8,1946,14895,35361,19459,14894,14913,35363,35362
460,8,2819,13041,35364,19461,2820,13057,35367,35365
461,8,13041,2908,19460,35364,13057,2909,35366,35367
462,8,19461,35364,19460,18425,35365,35367,35366,19462
463,8,190,2909,13057,2820,19462,35366,35367,35365
464,8,18136,19463,35368,19464,19465,35369,35371,35370
465,8,19463,3285,3284,35368,35369,14666,14683,35371
466,8,19464,35368,3284,3283,35370,35371,14683,14671
467,8,3269,14666,35369,19465,14671,14683,35371,35370
468,8,1860,19466,35372,19468,9262,35373,35376,35374
469,8,19466,18102,19467,35372,35373,19470,35375,35376
470,8,19468,35372,19467,18103,35374,35376,35375,19469
471,8,9248,19470,35373,9262,19469,35375,35376,35374
472,8,17483,19471,35377,19473,19474,35378,35381,35379
473,8,19471,17539,19472,35377,35378,19476,35380,35381
474,8,19473,35377,19472,17482,35379,35381,35380,19475
475,8,263,19476,35378,19474,19475,35380,35381,35379
476,8,17698,19477,35382,19479,19480,35383,35386,35384
477,8,19477,17683,19478,35382,35383,19482,35385,35386
478,8,19479,35382,19478,4906,35384,35386,35385,19481
479,8,17715,19482,35383,19480,19481,35385,35386,35384
480,8,18948,19483,35387,19485,19486,35388,35391,35389
481,8,19483,18878,19484,35387,35388,19488,35390,35391
482,8,19485,35387,19484,18898,35389,35391,35390,19487
483,8,18951,19488,35388,19486,19487,35390,35391,35389
484,8,1157,19489,35392,19491,6756,35393,35396,35394
485,8,19489,17904,19490,35392,35393,19493,35395,35396
486,8,19491,35392,19490,18744,35394,35396,35395,19492
487,8,6728,19493,35393,6756,19492,35395,35396,35394
488,8,17610,19138,35015,19137,19494,35397,35400,35398
489,8,19138,527,19139,35015,35397,19496,35399,35400
490,8,19137,35015,19139,17630,35398,35400,35399,19495
491,8,17631,19496,35397,19494,19495,35399,35400,35398
492,8,18784,19497,35401,19499,19500,35402,35405,35403
493,8,19497,17695,19498,35401,35402,19502,35404,35405
494,8,19499,35401,19498,17687,35403,35405,35404,19501
495,8,17689,19502,35402,19500,19501,35404,35405,35403
496,8,17793,19503,35406,19504,19505,35407,35409,35408
497,8,19503,546,5465,35406,35407,5489,5517,35409
498,8,19504,35406,5465,834,35408,35409,5517,833
499,8,832,5489,35407,19505,833,5517,35409,35408
